detector,nfeatures,upscale_factor,num_visual_words,training_subset_size,svm_kernel,svm_C,svm_gamma,mAP,test_accuracy,training_time,total_time
SIFT,500,4,500,0.3,linear,0.1,scale,0.4015079357612363,0.406,19.40766477584839,19.40766477584839
SIFT,500,4,500,0.3,linear,0.1,0.01,0.4015079357612363,0.406,19.33927297592163,19.33927297592163
SIFT,500,4,500,0.3,linear,0.1,0.001,0.4015079357612363,0.406,19.42695116996765,19.42695116996765
SIFT,500,4,500,0.3,linear,1.0,scale,0.40241792142166516,0.404,20.37737202644348,20.37737202644348
SIFT,500,4,500,0.3,linear,1.0,0.01,0.40241792142166516,0.404,21.093189001083374,21.093189001083374
SIFT,500,4,500,0.3,linear,1.0,0.001,0.40241792142166516,0.404,20.94724202156067,20.94724202156067
SIFT,500,4,500,0.3,linear,10.0,scale,0.4002542074852878,0.399,21.164487838745117,21.164487838745117
SIFT,500,4,500,0.3,linear,10.0,0.01,0.4002542074852878,0.399,21.864617109298706,21.864617109298706
SIFT,500,4,500,0.3,linear,10.0,0.001,0.4002542074852878,0.399,21.651546001434326,21.651546001434326
SIFT,500,4,500,0.3,rbf,0.1,scale,0.46240106893806354,0.458,28.70755100250244,28.70755100250244
SIFT,500,4,500,0.3,rbf,0.1,0.01,0.4014854871157073,0.305,16.923825979232788,16.923825979232788
SIFT,500,4,500,0.3,rbf,0.1,0.001,0.3980415147365519,0.287,16.61988091468811,16.61988091468811
SIFT,500,4,500,0.3,rbf,1.0,scale,0.4612957724111359,0.464,28.821616888046265,28.821616888046265
SIFT,500,4,500,0.3,rbf,1.0,0.01,0.4021884977369109,0.403,18.28372097015381,18.28372097015381
SIFT,500,4,500,0.3,rbf,1.0,0.001,0.395321232684601,0.356,14.974200963973999,14.974200963973999
SIFT,500,4,500,0.3,rbf,10.0,scale,0.4438028755799581,0.444,35.76435708999634,35.76435708999634
SIFT,500,4,500,0.3,rbf,10.0,0.01,0.402946774125463,0.397,18.34339189529419,18.34339189529419
SIFT,500,4,500,0.3,rbf,10.0,0.001,0.39520839303601507,0.406,16.186021327972412,16.186021327972412
SIFT,500,4,500,0.4,linear,0.1,scale,0.4056826815235697,0.385,13.397581815719604,13.397581815719604
SIFT,500,4,500,0.4,linear,0.1,0.01,0.4056826815235697,0.385,12.727816820144653,12.727816820144653
SIFT,500,4,500,0.4,linear,0.1,0.001,0.4056826815235697,0.385,12.893896102905273,12.893896102905273
SIFT,500,4,500,0.4,linear,1.0,scale,0.40475973850691654,0.38,13.774109840393066,13.774109840393066
SIFT,500,4,500,0.4,linear,1.0,0.01,0.40475973850691654,0.38,13.47330093383789,13.47330093383789
SIFT,500,4,500,0.4,linear,1.0,0.001,0.40475973850691654,0.38,13.532058715820312,13.532058715820312
SIFT,500,4,500,0.4,linear,10.0,scale,0.4053344443440797,0.392,13.916392087936401,13.916392087936401
SIFT,500,4,500,0.4,linear,10.0,0.01,0.4053344443440797,0.392,14.207009077072144,14.207009077072144
SIFT,500,4,500,0.4,linear,10.0,0.001,0.4053344443440797,0.392,14.430321216583252,14.430321216583252
SIFT,500,4,500,0.4,rbf,0.1,scale,0.4461405428384073,0.44,19.451217889785767,19.451217889785767
SIFT,500,4,500,0.4,rbf,0.1,0.01,0.39069308285346116,0.327,11.185895919799805,11.185895919799805
SIFT,500,4,500,0.4,rbf,0.1,0.001,0.3941808293724502,0.289,10.759413957595825,10.759413957595825
SIFT,500,4,500,0.4,rbf,1.0,scale,0.4444173596479783,0.443,19.108493089675903,19.108493089675903
SIFT,500,4,500,0.4,rbf,1.0,0.01,0.4021843739421948,0.394,11.362914085388184,11.362914085388184
SIFT,500,4,500,0.4,rbf,1.0,0.001,0.3946965596693192,0.33,10.560342073440552,10.560342073440552
SIFT,500,4,500,0.4,rbf,10.0,scale,0.4215541254584556,0.432,27.936403274536133,27.936403274536133
SIFT,500,4,500,0.4,rbf,10.0,0.01,0.4056622089680336,0.385,12.96044111251831,12.96044111251831
SIFT,500,4,500,0.4,rbf,10.0,0.001,0.4038214419445418,0.395,11.906012773513794,11.906012773513794
SIFT,500,4,500,0.5,linear,0.1,scale,0.3957492384458117,0.39,9.989619255065918,9.989619255065918
SIFT,500,4,500,0.5,linear,0.1,0.01,0.3957492384458117,0.39,9.940392017364502,9.940392017364502
SIFT,500,4,500,0.5,linear,0.1,0.001,0.3957492384458117,0.39,10.846219062805176,10.846219062805176
SIFT,500,4,500,0.5,linear,1.0,scale,0.39775413387553493,0.394,12.14297080039978,12.14297080039978
SIFT,500,4,500,0.5,linear,1.0,0.01,0.39775413387553493,0.394,11.302860021591187,11.302860021591187
SIFT,500,4,500,0.5,linear,1.0,0.001,0.39775413387553493,0.394,11.667195796966553,11.667195796966553
SIFT,500,4,500,0.5,linear,10.0,scale,0.4001295930470709,0.397,11.647050857543945,11.647050857543945
SIFT,500,4,500,0.5,linear,10.0,0.01,0.4001295930470709,0.397,11.401232242584229,11.401232242584229
SIFT,500,4,500,0.5,linear,10.0,0.001,0.4001295930470709,0.397,10.731294870376587,10.731294870376587
SIFT,500,4,500,0.5,rbf,0.1,scale,0.44754825359785605,0.446,13.207475185394287,13.207475185394287
SIFT,500,4,500,0.5,rbf,0.1,0.01,0.39622677872316453,0.382,7.5867040157318115,7.5867040157318115
SIFT,500,4,500,0.5,rbf,0.1,0.001,0.3946934046659929,0.265,7.471635818481445,7.471635818481445
SIFT,500,4,500,0.5,rbf,1.0,scale,0.4479167458317394,0.445,12.969423055648804,12.969423055648804
SIFT,500,4,500,0.5,rbf,1.0,0.01,0.39360648255234426,0.387,8.132287979125977,8.132287979125977
