detector,nfeatures,upscale_factor,num_visual_words,training_subset_size,svm_kernel,svm_C,svm_gamma,mAP,test_accuracy,training_time,total_time
SIFT,500,4,500,0.3,linear,0.1,scale,0.4015079357612363,0.406,18.24941396713257,18.24941396713257
SIFT,500,4,500,0.3,linear,0.1,0.01,0.4015079357612363,0.406,18.26728129386902,18.26728129386902
SIFT,500,4,500,0.3,linear,0.1,0.001,0.4015079357612363,0.406,18.257649898529053,18.257649898529053
SIFT,500,4,500,0.3,linear,1.0,scale,0.40241792142166516,0.404,19.65298080444336,19.65298080444336
SIFT,500,4,500,0.3,linear,1.0,0.01,0.40241792142166516,0.404,19.559001207351685,19.559001207351685
SIFT,500,4,500,0.3,linear,1.0,0.001,0.40241792142166516,0.404,19.773659229278564,19.773659229278564
SIFT,500,4,500,0.3,linear,10.0,scale,0.4002542074852878,0.399,20.049744129180908,20.049744129180908
SIFT,500,4,500,0.3,linear,10.0,0.01,0.4002542074852878,0.399,20.70075511932373,20.70075511932373
SIFT,500,4,500,0.3,linear,10.0,0.001,0.4002542074852878,0.399,20.561620235443115,20.561620235443115
SIFT,500,4,500,0.3,rbf,0.1,scale,0.46240106893806354,0.458,27.293506145477295,27.293506145477295
SIFT,500,4,500,0.3,rbf,0.1,0.01,0.4014854871157073,0.305,15.854212999343872,15.854212999343872
SIFT,500,4,500,0.3,rbf,0.1,0.001,0.3980415147365519,0.287,15.67723798751831,15.67723798751831
SIFT,500,4,500,0.3,rbf,1.0,scale,0.4612957724111359,0.464,27.460290670394897,27.460290670394897
SIFT,500,4,500,0.3,rbf,1.0,0.01,0.4021884977369109,0.403,17.202306032180786,17.202306032180786
SIFT,500,4,500,0.3,rbf,1.0,0.001,0.395321232684601,0.356,14.147896766662598,14.147896766662598
SIFT,500,4,500,0.3,rbf,10.0,scale,0.4438028755799581,0.444,34.942492723464966,34.942492723464966
SIFT,500,4,500,0.3,rbf,10.0,0.01,0.402946774125463,0.397,17.89337921142578,17.89337921142578
SIFT,500,4,500,0.3,rbf,10.0,0.001,0.39520839303601507,0.406,15.68675708770752,15.68675708770752
SIFT,500,4,500,0.4,linear,0.1,scale,0.4056826815235697,0.385,12.688651084899902,12.688651084899902
SIFT,500,4,500,0.4,linear,0.1,0.01,0.4056826815235697,0.385,12.915173053741455,12.915173053741455
SIFT,500,4,500,0.4,linear,0.1,0.001,0.4056826815235697,0.385,12.67676591873169,12.67676591873169
SIFT,500,4,500,0.4,linear,1.0,scale,0.40475973850691654,0.38,13.365865230560303,13.365865230560303
SIFT,500,4,500,0.4,linear,1.0,0.01,0.40475973850691654,0.38,13.233669996261597,13.233669996261597
SIFT,500,4,500,0.4,linear,1.0,0.001,0.40475973850691654,0.38,13.15363097190857,13.15363097190857
SIFT,500,4,500,0.4,linear,10.0,scale,0.4053344443440797,0.392,13.241068840026855,13.241068840026855
SIFT,500,4,500,0.4,linear,10.0,0.01,0.4053344443440797,0.392,13.236145973205566,13.236145973205566
SIFT,500,4,500,0.4,linear,10.0,0.001,0.4053344443440797,0.392,13.317355155944824,13.317355155944824
SIFT,500,4,500,0.4,rbf,0.1,scale,0.4461405428384073,0.44,17.619920253753662,17.619920253753662
SIFT,500,4,500,0.4,rbf,0.1,0.01,0.39069308285346116,0.327,9.912307977676392,9.912307977676392
SIFT,500,4,500,0.4,rbf,0.1,0.001,0.3941808293724502,0.289,9.787947654724121,9.787947654724121
SIFT,500,4,500,0.4,rbf,1.0,scale,0.4444173596479783,0.443,18.0611572265625,18.0611572265625
SIFT,500,4,500,0.4,rbf,1.0,0.01,0.4021843739421948,0.394,10.750460863113403,10.750460863113403
SIFT,500,4,500,0.4,rbf,1.0,0.001,0.3946965596693192,0.33,9.915576696395874,9.915576696395874
SIFT,500,4,500,0.4,rbf,10.0,scale,0.4215541254584556,0.432,24.320246934890747,24.320246934890747
SIFT,500,4,500,0.4,rbf,10.0,0.01,0.4056622089680336,0.385,12.518439769744873,12.518439769744873
SIFT,500,4,500,0.4,rbf,10.0,0.001,0.4038214419445418,0.395,10.921992063522339,10.921992063522339
SIFT,500,4,500,0.5,linear,0.1,scale,0.3957492384458117,0.39,8.541866779327393,8.541866779327393
SIFT,500,4,500,0.5,linear,0.1,0.01,0.3957492384458117,0.39,8.494618892669678,8.494618892669678
SIFT,500,4,500,0.5,linear,0.1,0.001,0.3957492384458117,0.39,8.481819868087769,8.481819868087769
SIFT,500,4,500,0.5,linear,1.0,scale,0.39775413387553493,0.394,8.748963117599487,8.748963117599487
SIFT,500,4,500,0.5,linear,1.0,0.01,0.39775413387553493,0.394,8.711158037185669,8.711158037185669
SIFT,500,4,500,0.5,linear,1.0,0.001,0.39775413387553493,0.394,8.7030348777771,8.7030348777771
SIFT,500,4,500,0.5,linear,10.0,scale,0.4001295930470709,0.397,8.771394968032837,8.771394968032837
SIFT,500,4,500,0.5,linear,10.0,0.01,0.4001295930470709,0.397,8.809847116470337,8.809847116470337
SIFT,500,4,500,0.5,linear,10.0,0.001,0.4001295930470709,0.397,8.759730100631714,8.759730100631714
SIFT,500,4,500,0.5,rbf,0.1,scale,0.44754825359785605,0.446,11.553028106689453,11.553028106689453
SIFT,500,4,500,0.5,rbf,0.1,0.01,0.39622677872316453,0.382,6.4172821044921875,6.4172821044921875
SIFT,500,4,500,0.5,rbf,0.1,0.001,0.3946934046659929,0.265,6.559437990188599,6.559437990188599
SIFT,500,4,500,0.5,rbf,1.0,scale,0.4479167458317394,0.445,11.979388236999512,11.979388236999512
SIFT,500,4,500,0.5,rbf,1.0,0.01,0.39360648255234426,0.387,7.141678810119629,7.141678810119629
SIFT,500,4,500,0.5,rbf,1.0,0.001,0.3934566217056915,0.346,6.515221834182739,6.515221834182739
SIFT,500,4,500,0.5,rbf,10.0,scale,0.41839984935177077,0.418,15.836565971374512,15.836565971374512
SIFT,500,4,500,0.5,rbf,10.0,0.01,0.39756898931159845,0.393,8.066550970077515,8.066550970077515
SIFT,500,4,500,0.5,rbf,10.0,0.001,0.39280736260104276,0.394,7.088222980499268,7.088222980499268
SIFT,500,4,1000,0.3,linear,0.1,scale,0.3981014966661308,0.389,34.41538095474243,34.41538095474243
SIFT,500,4,1000,0.3,linear,0.1,0.01,0.3981014966661308,0.389,34.48949313163757,34.48949313163757
SIFT,500,4,1000,0.3,linear,0.1,0.001,0.3981014966661308,0.389,34.70414686203003,34.70414686203003
SIFT,500,4,1000,0.3,linear,1.0,scale,0.3972674544646577,0.395,37.22790002822876,37.22790002822876
SIFT,500,4,1000,0.3,linear,1.0,0.01,0.3972674544646577,0.395,37.05482077598572,37.05482077598572
SIFT,500,4,1000,0.3,linear,1.0,0.001,0.3972674544646577,0.395,37.02003598213196,37.02003598213196
SIFT,500,4,1000,0.3,linear,10.0,scale,0.39765311927834024,0.399,36.79814386367798,36.79814386367798
SIFT,500,4,1000,0.3,linear,10.0,0.01,0.39765311927834024,0.399,35.97453999519348,35.97453999519348
SIFT,500,4,1000,0.3,linear,10.0,0.001,0.39765311927834024,0.399,36.19142389297485,36.19142389297485
SIFT,500,4,1000,0.3,rbf,0.1,scale,0.4539326485899446,0.45,47.98132014274597,47.98132014274597
SIFT,500,4,1000,0.3,rbf,0.1,0.01,0.3903662631322629,0.337,28.50448203086853,28.50448203086853
SIFT,500,4,1000,0.3,rbf,0.1,0.001,0.39031130953870175,0.309,28.534515857696533,28.534515857696533
SIFT,500,4,1000,0.3,rbf,1.0,scale,0.45402226203176826,0.444,45.964462757110596,45.964462757110596
SIFT,500,4,1000,0.3,rbf,1.0,0.01,0.40034295881724463,0.398,29.888906002044678,29.888906002044678
SIFT,500,4,1000,0.3,rbf,1.0,0.001,0.3970714419295641,0.341,21.70016598701477,21.70016598701477
SIFT,500,4,1000,0.3,rbf,10.0,scale,0.43286811798629665,0.43,52.303674936294556,52.303674936294556
